id,title,incident_on,min_lon,min_lat,max_lon,max_lat
83031,Landslide at Indrasarowar Rural Municipality-1,05-10-2025,85.13080862,27.57773393,85.18373949,27.6367773
83042,"Landslide at Khadka Gaau , Suryabinayak Municipality-10",05-10-2025,85.44198567,27.64228725,85.49374106,27.66489918
83046,Landslide at Bagmati Rural Municipality-4,05-10-2025,85.3682434,27.26391319,85.43181844,27.3260391
83051,Landslide at Gosaikunda Rural Municipality-5,05-10-2025,85.2987473,28.07194274,85.49534097,28.18202276
83052,Landslide at Sunapati Rural Municipality-3,05-10-2025,85.83742671,27.47091261,85.89834059,27.5223181
83060,Landslide at Suryabinayak Municipality-9,05-10-2025,85.44164829,27.62524759,85.47764298,27.66392555
83061,Landslide at Changunarayan Municipality-4,05-10-2025,85.40998049,27.70370935,85.45524012,27.72805063
83064,Landslide at Chainpur Municipality-3,05-10-2025,87.33714791,27.28216102,87.38446793,27.31883028
83069,Landslide at Pakhribas Municipality-4,05-10-2025,87.25823893,27.03944191,87.28867106,27.06886983
83083,Landslide at Mahalaxmi Municipality-7,05-10-2025,87.30077871,27.0925659,87.34479607,27.13987047
83084,Landslide at Ramprasad Rai Rural Municipality-3,05-10-2025,86.98340862,27.08611706,87.03252751,27.12694499
83087,Landslide at Chaubise Rural Municipality-2,05-10-2025,87.48556541,26.8710038,87.53179781,26.93390019
83092,Landslide at Sangurigadhi Rural Municipality-9,05-10-2025,87.19084699,26.86593481,87.2634548,26.91355834
83093,Landslide at Chhathar Jorpati Rural Municipality-2,05-10-2025,87.33544518,27.02736478,87.39285243,27.08378357
83097,Landslide at Roshi Rural Municipality-11,05-10-2025,85.70657357,27.40751842,85.78433094,27.47132472
83109,Landslide at Manebhanjyang Rural Municipality-5,05-10-2025,86.44227724,27.17920408,86.47690338,27.24342516
83114,Landslide at Solududhakunda Municipality-3,05-10-2025,86.4816665,27.50856274,86.58030704,27.55994991
83122,"Landslide at Belahara , Dhankuta Municipality-9",05-10-2025,87.27153577,26.91729493,87.33440438,26.98292159
83129,Landslide at Biratnagar Metropolitan City-16,05-10-2025,87.24253253,26.40571905,87.26868541,26.43078811
83145,Landslide at Tumbewa Rural Municipality-4,05-10-2025,87.59470835,26.95253236,87.65745181,27.00847929
83162,"Landslide at Bhalukhola, Airawati Rural Municipality-1",05-10-2025,82.93309724,27.91994069,83.01779002,27.993583
83648,"Landslide at Manedanda, Pauwadungma Rural Municipality-4",05-10-2025,87.09551738,27.08824173,87.16504256,27.14247943
83650,Landslide at Sandakpur Rural Municipality-5,05-10-2025,87.96386637,27.00046929,88.04981237,27.06735058
